Time,Group,EngraulisJaponicus,ScomberJaponicus,ScomberomorusNiphonius,DecapterusMaruadsi,TrichiurusJaponicus,PennahiaArgentata,PampusArgenteus,LarimichthysPolyactis,MuraenesoxCinereus,MiichthysMiiuy,TrachurusJaponicus,TodarodesPacificus,TrachysalambriaCurvirostris,PortunusTrituberculatus
28,SSP5-8.5,822738.0895,1147587.573,91419.64641,51031.6262,1504105.342,652844.6579,15379.13642,646566.6983,842587.8716,69494.0916,12940.74256,884537.0582,256260.4617,425144.1015
29,SSP5-8.5,812959.5635,1127856.351,92543.78424,49738.19372,1492299.31,642047.1578,13820.73094,636125.2308,816249.2831,66421.92834,12196.27042,869734.9091,262371.8224,403210.9175
30,SSP5-8.5,842163.8864,1135513.405,93091.09246,50816.50019,1526881.055,671112.6501,13715.16887,672006.4826,848545.1455,68611.07721,12010.23656,888313.4416,272572.3716,413723.7727
31,SSP5-8.5,834728.6661,1138717.989,91892.09881,47880.36689,1546281.596,646232.8603,12087.51859,647387.3907,807580.7751,66652.25939,10961.34186,875769.7358,270631.6528,413975.0892
32,SSP5-8.5,824585.7847,1097251.355,94354.84184,45434.18747,1542628.182,719629.8992,13516.10061,693976.6267,864215.1705,77424.77828,10953.44986,943207.6586,269421.7017,450279.2208
33,SSP5-8.5,789600.2274,1050605.625,93960.28994,44416.64868,1516473.302,764291.2738,13174.1118,671398.7706,863629.6643,79470.1122,11043.9531,942532.96,262879.6944,380862.1418
34,SSP5-8.5,832982.2365,1110698.109,94547.17317,44022.62955,1497667.693,768944.631,13422.21734,674492.1767,832995.7098,71874.26078,12070.84818,883057.7138,252789.5116,402259.3688
35,SSP5-8.5,857116.7224,1131915.788,95044.51074,45344.41271,1531759.58,732689.7459,14635.23985,665216.3105,827696.9348,67812.0911,11833.25789,875409.7494,280004.7672,421539.099
36,SSP5-8.5,834420.5187,1111814.521,94264.17968,49619.44866,1469078.724,676348.1143,13299.11151,640530.4055,820685.1748,68845.31241,12091.34773,870283.8318,269740.6032,400507.1428
37,SSP5-8.5,840011.2744,1124973.361,93952.76158,50132.13861,1473264.945,615510.8652,13041.73599,622155.9632,805301.932,64928.6511,12626.48822,865537.0733,252248.8332,396615.5807
38,SSP5-8.5,839104.7994,1102339.892,91674.32509,49697.73366,1482905.658,656452.4137,13838.31718,680437.053,796156.0457,67393.84522,12516.75718,880716.9302,259194.3109,412353.6758
39,SSP5-8.5,834616.4829,1095770.257,92481.96278,51051.41148,1494005.065,704859.466,13443.75978,675846.3609,824691.9627,76025.66134,11370.82737,951557.5517,278630.5416,412682.9585
40,SSP5-8.5,804596.4759,1049783.365,93733.23877,53936.78173,1450994.151,718136.5962,14340.78651,646272.9743,839090.555,76485.94317,11698.44927,916417.8671,267395.619,412994.2296
41,SSP5-8.5,780173.1385,1085486.076,92400.02309,50884.9285,1457787.808,714915.9416,14338.86871,655790.3127,824322.9858,71712.58714,12958.86072,882542.8473,251991.4439,409083.9392
42,SSP5-8.5,831690.9833,1137673.941,92645.02339,47754.71506,1429867.403,681276.2466,13813.64309,631453.4128,802456.3232,60471.05971,12948.34101,820689.9442,246404.1628,410248.1487
43,SSP5-8.5,848464.5974,1144863.861,93149.93804,48476.55498,1421242.607,684242.3797,15194.7053,645946.0911,817564.4053,66544.45277,12774.43286,848640.3076,263045.5514,411448.3704
44,SSP5-8.5,786286.539,1087786.45,91600.65089,48344.94862,1478834.414,689209.2453,14349.29627,680415.9277,836251.4662,67600.87692,12400.07886,894843.2971,257341.9175,399535.8628
45,SSP5-8.5,796877.0071,1092904.203,93793.89511,47774.5051,1510579.118,735501.0021,14639.55791,681114.4697,861470.8572,76372.6478,11521.09813,961187.5537,270468.9658,417964.3382
46,SSP5-8.5,800361.0807,1089632.036,92473.17885,50121.48399,1538593.508,727374.8563,14084.79385,664016.1291,857377.4652,72115.73749,11045.17738,921530.2742,275607.4325,408004.233
47,SSP5-8.5,765869.4998,1060055.181,93516.12749,50959.32837,1512370.076,787292.8447,14249.23449,697867.0041,865580.2784,88402.75186,12022.70861,961526.2459,266922.5225,421064.4237
48,SSP5-8.5,796650.0625,1087913.296,94897.08281,52642.90815,1465240.896,741475.3255,12287.04976,637507.434,795982.9604,70127.33534,11996.5597,875641.4968,261822.6101,406653.3967
49,SSP5-8.5,817065.7014,1108842.941,95170.65547,52201.3664,1485829.765,696169.3862,13562.94927,651865.6049,815537.9629,69715.46324,12180.85185,911584.1902,272733.959,423171.2597
50,SSP5-8.5,825264.5023,1135036.747,93126.47472,49452.3082,1490311.947,657757.8274,13482.13371,626271.8444,798457.5361,63406.18115,11882.63268,854497.6434,263975.5961,409063.0215
51,SSP5-8.5,801926.9874,1126021.745,93352.62303,49872.64113,1486254.483,724557.5534,13668.15582,655278.7373,833857.2598,74228.12149,12556.09322,921874.7816,254881.1995,428244.6325
52,SSP5-8.5,795998.0808,1075093.574,91208.55135,48094.40142,1464500.226,717832.9574,12735.24208,631720.455,798737.9618,65482.21794,12654.56651,816274.8666,256539.2898,402131.4786
53,SSP5-8.5,769750.6048,1093114.659,91128.25216,52766.61282,1468257.783,730832.8595,13512.11592,642340.2825,806622.7542,75561.50134,12593.87465,869608.3806,264482.5455,414782.0642
54,SSP5-8.5,776405.5467,1074136.921,91184.06325,49318.25447,1482009.584,733119.0234,13759.84512,661875.0879,813956.2899,72609.38326,11668.75453,933875.5155,264158.3213,411285.3715
55,SSP5-8.5,743123.6378,1060152.494,95145.23902,50401.03447,1488893.765,784082.1543,13695.63907,676050.5648,858883.637,83904.12842,12153.18268,980163.8728,265080.9303,425134.8395
56,SSP5-8.5,736274.5264,1036956.153,94929.57791,47368.87378,1462700.754,790444.149,13087.33969,668105.6698,850920.4055,78741.10535,11752.43331,929778.308,270857.2682,406657.0752
57,SSP5-8.5,725734.5581,1024655.516,95411.82793,46438.62635,1491016.452,791498.0661,13461.21138,668964.3935,832176.9864,81662.83827,11521.98865,921267.2229,265274.9333,400907.7407
58,SSP5-8.5,735073.3541,1053095.493,93625.04769,46661.64605,1520639.554,758542.5829,12143.76299,678502.4549,838822.7453,77022.63681,11949.98926,930186.8715,267344.5722,420128.0005
59,SSP5-8.5,750429.1045,1069005.76,97107.56675,46823.81569,1529629.562,810008.1821,12449.6114,683638.972,869315.9635,93697.27916,12909.74304,1024365.514,271977.4412,410912.1289
60,SSP5-8.5,719086.552,1020160.47,94911.66496,45411.33459,1540157.318,802580.8386,12255.67419,669493.945,865000.8928,84162.10013,12456.70976,961263.2451,265975.1809,394517.4592
61,SSP5-8.5,744622.5501,1059908.007,93243.25594,46287.52302,1518267.567,770269.8087,12303.44451,671193.2599,849567.7031,73358.99781,12066.09733,876973.5376,264368.2492,406985.2815
62,SSP5-8.5,740304.9748,1052188.001,93583.4194,46284.29415,1505768.71,783475.5711,13107.14822,688043.5908,850693.5991,81515.41278,11949.16038,941486.7457,272236.8952,416694.2756
63,SSP5-8.5,698423.409,963555.885,92178.31883,46460.08271,1503248.592,829414.0807,13006.90856,703575.3259,852158.9008,84201.8581,11407.0929,970822.369,269552.8272,416442.0786
64,SSP5-8.5,655210.6943,942980.0255,92724.35811,48149.87015,1478728.039,841352.0509,12416.34113,694552.8921,846034.4033,84794.69256,11659.33371,917294.5058,274507.6111,392961.1636
65,SSP5-8.5,708779.9222,992804.7363,92658.02448,48087.0931,1494594.637,830314.1567,13827.83237,694540.9235,819049.9774,76269.95343,11641.09717,858155.0706,264862.8426,384664.5285
66,SSP5-8.5,740550.7506,1031764.225,91586.14755,48987.33746,1515467.56,817098.9996,13946.31999,689950.6731,821716.6069,77467.753,11688.21391,899254.4368,245949.3271,395929.3012
67,SSP5-8.5,710418.4226,1011216.81,93205.4868,49482.89371,1523897.894,856397.8561,13625.11532,678974.3124,868005.3897,90403.58613,10574.94195,958393.0354,266574.1784,405147.7377
68,SSP5-8.5,687004.7656,977397.2155,92571.47124,48682.24837,1510344.739,879767.8009,13357.11657,681408.3683,872601.8637,91476.03943,10522.03925,948326.6099,257338.651,398595.2652
69,SSP5-8.5,720049.3119,1015294.956,95325.83662,46762.8285,1481799.843,868135.4298,13407.2849,702476.9058,874966.3302,81871.72238,10634.6867,950527.6945,264857.7234,396643.2357
70,SSP5-8.5,729444.3096,1017505.399,95131.91042,48894.74557,1503426.163,863865.9294,13336.77593,705870.7058,880634.2286,94050.45471,10769.13847,937835.5524,275259.0766,400456.2648
71,SSP5-8.5,720884.1985,989096.5864,93048.57352,44977.29811,1514589.604,828759.4216,12678.10574,683294.3404,859097.8972,78926.40552,10070.72246,903778.6471,274657.3473,378378.9895
72,SSP5-8.5,722932.5777,994727.793,94032.64721,43107.12184,1502243.527,837352.7054,13139.78608,685391.2887,862307.8375,82611.8349,10868.24045,900418.7268,264272.3559,389733.3537
73,SSP5-8.5,708699.3737,992556.1555,94594.00638,43091.82177,1526602.913,867828.3148,12868.52391,711922.2967,865784.5505,88635.22819,12133.46594,960560.3467,276423.0816,389995.9718
74,SSP5-8.5,702350.9149,979478.1039,93682.72385,44145.75306,1591401.451,885939.2991,12631.89639,710628.0929,847130.9152,85894.52129,11323.72205,937518.8367,265467.7172,383730.4064
75,SSP5-8.5,699802.6778,991212.553,94251.30214,46637.44087,1576686.945,909744.7412,11795.66517,709426.8212,867528.5417,94137.46533,10974.37784,980620.7431,271720.9826,401250.1839
76,SSP5-8.5,673740.2322,970663.1505,93660.01171,44945.00016,1531740.826,876731.9794,12154.36566,676279.4202,848357.0122,88614.37278,11638.31377,910665.076,256296.9614,408057.3908
77,SSP5-8.5,669599.8097,976003.9331,94418.26051,45573.03566,1574014.825,894397.6756,12071.55682,686101.6427,860078.8107,91467.70389,11028.82799,953731.1428,274385.893,411863.5277
78,SSP5-8.5,655288.6286,947007.4437,94344.70399,45502.68888,1582846.28,918839.1696,13352.82372,710137.7236,863138.7609,89717.93908,11174.96339,930191.948,281119.8827,407484.7299
