scenario,run,group,value,indicator
SSP1-2.6,34,Prey,0.670147279382716,age_mature
SSP1-2.6,35,Prey,0.689581794320988,age_mature
SSP1-2.6,36,Prey,0.687143464444444,age_mature
SSP1-2.6,37,Prey,0.682185316666667,age_mature
SSP1-2.6,38,Prey,0.68046183345679,age_mature
SSP1-2.6,39,Prey,0.688244452839506,age_mature
SSP1-2.6,40,Prey,0.668409167407407,age_mature
SSP1-2.6,41,Prey,0.671924178641975,age_mature
SSP1-2.6,42,Prey,0.68099810691358,age_mature
SSP1-2.6,43,Prey,0.659240517654321,age_mature
SSP1-2.6,44,Prey,0.671622735308642,age_mature
SSP1-2.6,45,Prey,0.667833949012346,age_mature
SSP1-2.6,46,Prey,0.683863088765432,age_mature
SSP1-2.6,47,Prey,0.667377799382716,age_mature
SSP1-2.6,48,Prey,0.673899567901235,age_mature
SSP1-2.6,49,Prey,0.677695816049383,age_mature
SSP1-2.6,50,Prey,0.691019651234568,age_mature
SSP1-2.6,51,Prey,0.68389685617284,age_mature
SSP1-2.6,52,Prey,0.667909241481481,age_mature
SSP1-2.6,53,Prey,0.678083579876543,age_mature
SSP1-2.6,54,Prey,0.681765272469136,age_mature
SSP1-2.6,55,Prey,0.688077245308642,age_mature
SSP1-2.6,56,Prey,0.676913844320988,age_mature
SSP1-2.6,57,Prey,0.676094173827161,age_mature
SSP1-2.6,58,Prey,0.677816210246914,age_mature
SSP1-2.6,59,Prey,0.662716854320988,age_mature
SSP1-2.6,60,Prey,0.678735395061728,age_mature
SSP1-2.6,61,Prey,0.665548438395062,age_mature
SSP1-2.6,62,Prey,0.666439425061728,age_mature
SSP1-2.6,63,Prey,0.676466057160494,age_mature
SSP1-2.6,64,Prey,0.671221901975309,age_mature
SSP1-2.6,65,Prey,0.683520022839506,age_mature
SSP1-2.6,66,Prey,0.671376738888889,age_mature
SSP1-2.6,67,Prey,0.684365178888889,age_mature
SSP1-2.6,68,Prey,0.686354936790124,age_mature
SSP1-2.6,69,Prey,0.685766265802469,age_mature
SSP1-2.6,70,Prey,0.67731407691358,age_mature
SSP1-2.6,71,Prey,0.667005832098765,age_mature
SSP1-2.6,72,Prey,0.674969012839506,age_mature
SSP1-2.6,73,Prey,0.685813657901235,age_mature
SSP1-2.6,74,Prey,0.684689960617284,age_mature
SSP1-2.6,75,Prey,0.68443742962963,age_mature
SSP1-2.6,76,Prey,0.681746807777778,age_mature
SSP1-2.6,77,Prey,0.686492031234568,age_mature
SSP1-2.6,78,Prey,0.675570363950617,age_mature
SSP1-2.6,79,Prey,0.673407011728395,age_mature
SSP1-2.6,80,Prey,0.670911598888889,age_mature
SSP1-2.6,81,Prey,0.669826249382716,age_mature
SSP1-2.6,82,Prey,0.674035635432099,age_mature
SSP1-2.6,83,Prey,0.673842128395062,age_mature
SSP1-2.6,84,Prey,0.663999278271605,age_mature
SSP1-2.6,85,Prey,0.668711613950617,age_mature
SSP1-2.6,86,Prey,0.674235936666667,age_mature
SSP1-2.6,87,Prey,0.669680612098765,age_mature
SSP1-2.6,88,Prey,0.682779854938272,age_mature
SSP1-2.6,89,Prey,0.666902746049383,age_mature
SSP1-2.6,90,Prey,0.665230497654321,age_mature
SSP1-2.6,91,Prey,0.67115182,age_mature
