species,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,response_center,response_unit,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance,latin,group,species_order,cell_label,indicator_label
DecapterusMaruadsi,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.7148232517,2.72327473844444,0.00845148674444467,absolute difference,0.311308912620834,0.242879799146125,0.379335894404428,9.10901488556627,99,9.59468776512959e-15,0.910901488556627,1.91893755302592e-14,***,Decapterus maruadsi,Mid-trophic species,10,+0.3***,Mean trophic level
PennahiaArgentata,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.89192399516667,2.90068190039506,0.00875790522839521,absolute difference,0.30284008995507,0.245424443416844,0.36037452365517,10.3622124007425,99,1.77579346563069e-17,1.03622124007425,4.14351808647162e-17,***,Pennahia argentata,Mid-trophic species,11,+0.3***,Mean trophic level
PampusArgenteus,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.82814235153333,2.81916934609877,-0.0089730054345677,absolute difference,-0.317275593631372,-0.39992109172599,-0.232300167042807,-7.42616288287052,99,3.97971294070332e-11,-0.742616288287052,6.96449764623081e-11,***,Pampus argenteus,Mid-trophic species,12,-0.3***,Mean trophic level
LarimichthysPolyactis,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.60773167376667,2.60493048511111,-0.00280118865555512,absolute difference,-0.107418592324293,-0.180744474601996,-0.0373842640997424,-2.88396089989279,99,0.00481856233957348,-0.288396089989279,0.00562165606283573,**,Larimichthys polyactis,Mid-trophic species,13,-0.1**,Mean trophic level
TrachurusJaponicus,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.67468526753333,2.67839617759259,0.00371091005925952,absolute difference,0.138741933651199,0.0502779931864722,0.225909346513727,3.10004504913945,99,0.00251984686819838,0.310004504913945,0.00320707783225248,**,Trachurus japonicus,Mid-trophic species,14,+0.1**,Mean trophic level
EngraulisJaponicus,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1003997.82573667,816480.993924692,-0.297828522149958,log2 response ratio,-18.6524118368183,-19.3609949683511,-17.900175229661,-44.4594703983916,99,3.14987097173522e-67,-4.44594703983916,2.20490968021465e-66,***,Engraulis japonicus,Prey,1,-18.7***,Biomass
ScomberomorusNiphonius,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,91790.0010016667,93081.3054718519,0.0203340581190068,log2 response ratio,1.41942907554153,0.942605777524954,1.89200627348747,5.80943537054214,99,7.62770034662792e-08,0.580943537054214,8.21444652713776e-08,***,Scomberomorus niphonius,Predator,2,+1.4***,Biomass
TrichiurusJaponicus,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1663672.68136667,1502642.27837284,-0.14601087130735,log2 response ratio,-9.6254083376048,-10.5259473305651,-8.75222243666083,-20.1766590154429,99,7.47482008736699e-37,-2.01766590154429,1.7441246870523e-36,***,Trichiurus japonicus,Predator,3,-9.6***,Biomass
MuraenesoxCinereus,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,719566.238656667,828286.326483951,0.203458101555882,log2 response ratio,15.1455056884331,14.379558796032,15.9098429458452,41.2479690856389,99,3.61654544965438e-64,4.12479690856389,1.68772120983871e-63,***,Muraenesox cinereus,Predator,4,+15.1***,Biomass
MiichthysMiiuy,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,66117.009757,70063.4926496297,0.085854314628352,log2 response ratio,6.13160303548863,4.51153949506782,7.76183450694498,7.45784342720158,99,3.41245216446452e-11,0.745784342720158,3.98119419187528e-11,***,Miichthys miiuy,Predator,5,+6.1***,Biomass
TodarodesPacificus,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,849666.623216667,890703.414050618,0.0692518437176471,log2 response ratio,4.91724601319046,3.80648791992779,5.99562484346294,8.84293761093582,99,3.63628250902511e-14,0.884293761093582,4.62799592057742e-14,***,Todarodes pacificus,Invertebrate,6,+4.9***,Biomass
TrachysalambriaCurvirostris,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,262208.412256,263108.517744938,0.007338835591415,log2 response ratio,0.509985340640196,-0.954083001820647,1.94045654709792,0.676727142237771,99,0.500157222620253,0.0676727142237771,0.500157222620253,ns,Trachysalambria curvirostris,Invertebrate,7,+0.5,Biomass
PortunusTrituberculatus,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,467618.004616667,414153.546005432,-0.174358439651776,log2 response ratio,-11.3838496254325,-12.2923478000914,-10.494094515158,-23.0970400776104,99,1.1791006432324e-41,-2.30970400776104,3.30148180105071e-41,***,Portunus trituberculatus,Invertebrate,8,-11.4***,Biomass
ScomberJaponicus,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1280579.16030333,1105664.73122099,-0.211650037509631,log2 response ratio,-13.6450990986094,-14.0709803626559,-13.1953420989768,-56.4636045004578,99,4.08303290542485e-77,-5.64636045004578,5.7162460675948e-76,***,Scomber japonicus,Mid-trophic species,9,-13.6***,Biomass
