scenario,run,group,ingestion_log2,maintenance_log2,burden_log2
SSP1-2.6,97,Mid-trophic species,0.00255063829011419,0.247378792616393,0.244828154326279
SSP5-8.5,97,Mid-trophic species,0.00533200154313323,0.430926666744258,0.425594665201125
SSP1-2.6,98,Mid-trophic species,-0.0124246422587969,0.246185942856109,0.258610585114906
SSP5-8.5,98,Mid-trophic species,-0.00677007131660295,0.491831035627228,0.498601106943831
SSP1-2.6,99,Mid-trophic species,-0.00349478129840851,0.211278951624954,0.214773732923363
SSP5-8.5,99,Mid-trophic species,-0.0103860213135467,0.472181857785792,0.482567879099339
SSP1-2.6,100,Mid-trophic species,0.00780454454802507,0.252746400520876,0.24494185597285
SSP5-8.5,100,Mid-trophic species,0.00340447856765836,0.478457849266199,0.47505337069854
SSP1-2.6,1,Prey,0.070197494055127,0.344011048036805,0.273813553981678
SSP5-8.5,1,Prey,0.186267805655991,0.598235838801945,0.411968033145954
SSP1-2.6,2,Prey,0.0314162494231794,0.326198014882861,0.294781765459681
SSP5-8.5,2,Prey,0.0724244782578974,0.711441354378656,0.639016876120759
SSP1-2.6,3,Prey,0.0953894024036335,0.372867007215203,0.27747760481157
SSP5-8.5,3,Prey,0.17377254931005,0.695146412816349,0.521373863506299
SSP1-2.6,4,Prey,0.0949050955640412,0.346579736776785,0.251674641212744
SSP5-8.5,4,Prey,0.152910162353492,0.684991891140108,0.532081728786617
SSP1-2.6,5,Prey,0.065917400498384,0.430431961900524,0.36451456140214
SSP5-8.5,5,Prey,0.109397851448655,0.762859407345292,0.653461555896636
SSP1-2.6,6,Prey,0.0871379202645131,0.351891576365982,0.264753656101469
SSP5-8.5,6,Prey,0.123962161473781,0.674718108941505,0.550755947467723
SSP1-2.6,7,Prey,0.0719655580112582,0.383168105388162,0.311202547376904
SSP5-8.5,7,Prey,0.168258377700445,0.689893051108035,0.52163467340759
SSP1-2.6,8,Prey,0.115982959145913,0.299847699583651,0.183864740437738
SSP5-8.5,8,Prey,0.0966059738264361,0.647143630252073,0.550537656425637
SSP1-2.6,9,Prey,0.0398522856766684,0.397738436532468,0.3578861508558
SSP5-8.5,9,Prey,0.0698462620635431,0.678456675797495,0.608610413733952
SSP1-2.6,10,Prey,0.0575440005429051,0.396042545682622,0.338498545139717
SSP5-8.5,10,Prey,0.104713486504539,0.658573034705667,0.553859548201128
SSP1-2.6,11,Prey,0.103393522936221,0.340121565449021,0.2367280425128
SSP5-8.5,11,Prey,0.134412628858581,0.659373561663922,0.52496093280534
SSP1-2.6,12,Prey,-0.00114725020226461,0.37425700700294,0.375404257205204
SSP5-8.5,12,Prey,0.088812072222214,0.685153539428884,0.59634146720667
SSP1-2.6,13,Prey,0.0337189435519558,0.385472450720909,0.351753507168953
SSP5-8.5,13,Prey,0.058835502574377,0.594410120480492,0.535574617906115
SSP1-2.6,14,Prey,0.0299931670496569,0.397288937353188,0.367295770303532
SSP5-8.5,14,Prey,0.0538811960484708,0.777819144601147,0.723937948552677
SSP1-2.6,15,Prey,0.0526533232399029,0.334872266314316,0.282218943074413
SSP5-8.5,15,Prey,0.114187637138894,0.709491907560486,0.595304270421592
SSP1-2.6,16,Prey,0.0042414144525536,0.497157300486191,0.492915886033637
SSP5-8.5,16,Prey,0.0563581770811174,0.769529543379516,0.713171366298398
SSP1-2.6,17,Prey,0.0586299592847691,0.405015565174641,0.346385605889872
SSP5-8.5,17,Prey,0.09387839170767,0.687877049056343,0.593998657348673
SSP1-2.6,18,Prey,0.089132927675432,0.338025312888798,0.248892385213366
SSP5-8.5,18,Prey,0.176516280791001,0.613879949298378,0.437363668507377
SSP1-2.6,19,Prey,0.00360728037606855,0.447156372349187,0.443549091973118
SSP5-8.5,19,Prey,0.0914122205426446,0.70439428846025,0.612982067917605
SSP1-2.6,20,Prey,0.0900897013366332,0.318619830410225,0.228530129073592
SSP5-8.5,20,Prey,0.119833838789794,0.681424792976165,0.561590954186371
SSP1-2.6,21,Prey,0.0718179759527083,0.372686899813319,0.300868923860611
SSP5-8.5,21,Prey,0.201351814665251,0.592208981684637,0.390857167019386
SSP1-2.6,22,Prey,0.0748005765023417,0.393430309668303,0.318629733165961
SSP5-8.5,22,Prey,0.0841543297637416,0.615909564431764,0.531755234668022
SSP1-2.6,23,Prey,0.0802124697619201,0.391258433326168,0.311045963564248
SSP5-8.5,23,Prey,0.13781818699031,0.702433632695341,0.564615445705031
SSP1-2.6,24,Prey,0.107779152418088,0.268471600283796,0.160692447865708
SSP5-8.5,24,Prey,0.195241868775044,0.570429622750338,0.375187753975295
SSP1-2.6,25,Prey,0.158521740100387,0.385265325415194,0.226743585314807
SSP5-8.5,25,Prey,0.231018924784365,0.601037411802166,0.3700184870178
SSP1-2.6,26,Prey,0.0142665254727508,0.343693282845664,0.329426757372914
SSP5-8.5,26,Prey,0.0718088430252364,0.606686506006993,0.534877662981756
SSP1-2.6,27,Prey,0.0597607078060308,0.349476177040561,0.28971546923453
SSP5-8.5,27,Prey,0.116176903794366,0.62712664332395,0.510949739529584
SSP1-2.6,28,Prey,0.053621403918206,0.399935150026374,0.346313746108168
SSP5-8.5,28,Prey,0.0871574668921507,0.670980147149678,0.583822680257527
SSP1-2.6,29,Prey,0.0664473915862575,0.389149539296128,0.322702147709871
SSP5-8.5,29,Prey,0.10849794764904,0.734552560653333,0.626054613004293
SSP1-2.6,30,Prey,0.101889064001879,0.288134626495411,0.186245562493532
SSP5-8.5,30,Prey,0.127672298592935,0.607610346228127,0.479938047635192
SSP1-2.6,31,Prey,0.132388290168939,0.361499334450733,0.229111044281794
SSP5-8.5,31,Prey,0.166617031026806,0.568851232057669,0.402234201030863
SSP1-2.6,32,Prey,0.0632545406420968,0.260051282176842,0.196796741534745
SSP5-8.5,32,Prey,0.128579245968641,0.567281286524295,0.438702040555654
SSP1-2.6,33,Prey,0.0727667636837295,0.300845982490269,0.22807921880654
SSP5-8.5,33,Prey,0.148583492431389,0.586418797433552,0.437835305002163
SSP1-2.6,34,Prey,0.0675954649377923,0.32539610434124,0.257800639403448
SSP5-8.5,34,Prey,0.0912445859886878,0.638534258846477,0.547289672857789
SSP1-2.6,35,Prey,0.102803278650765,0.31644075773465,0.213637479083885
SSP5-8.5,35,Prey,0.155498083021188,0.551558929690816,0.396060846669628
SSP1-2.6,36,Prey,0.0530336585304859,0.425821778058754,0.372788119528268
SSP5-8.5,36,Prey,0.0886037827156566,0.761974481975989,0.673370699260332
SSP1-2.6,37,Prey,0.0632037285550697,0.37029196607219,0.30708823751712
SSP5-8.5,37,Prey,0.103926129491843,0.700428451599438,0.596502322107595
SSP1-2.6,38,Prey,0.118419751690095,0.329790921644159,0.211371169954064
SSP5-8.5,38,Prey,0.16716333914088,0.618171218678531,0.451007879537651
SSP1-2.6,39,Prey,0.0951412196337402,0.295754258104967,0.200613038471227
SSP5-8.5,39,Prey,0.136312049888342,0.60261957749984,0.466307527611498
SSP1-2.6,40,Prey,0.0834141619130887,0.400240068402121,0.316825906489032
SSP5-8.5,40,Prey,0.104807153781112,0.710626352529627,0.605819198748515
SSP1-2.6,41,Prey,0.0961997465588353,0.39927755091831,0.303077804359475
SSP5-8.5,41,Prey,0.107280595800227,0.648227763370814,0.540947167570587
SSP1-2.6,42,Prey,0.0842353275153474,0.35123667361842,0.267001346103072
SSP5-8.5,42,Prey,0.169753221946988,0.598221106142871,0.428467884195883
SSP1-2.6,43,Prey,0.167109206057585,0.42149977299263,0.254390566935045
SSP5-8.5,43,Prey,0.15184925209542,0.743910637798114,0.592061385702694
SSP1-2.6,44,Prey,0.0614842827773076,0.333730431533398,0.27224614875609
SSP5-8.5,44,Prey,0.113379209468568,0.686386829968945,0.573007620500377
SSP1-2.6,45,Prey,0.0542810100321251,0.403716237620714,0.349435227588589
