scenario,species,latin,group,species_order,mean,lo,hi,n_runs,metric,metric_label
SSP5-8.5,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,0.290390962869957,0.276548182177408,0.305667031722777,100,maintenance_age_standardized,maintenance
Base,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,0.539762318899833,0.502492527504167,0.574456915229167,100,maintenance_age_standardized,maintenance
SSP1-2.6,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,0.597880984221914,0.576385326311729,0.623895789973766,100,maintenance_age_standardized,maintenance
SSP5-8.5,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,0.709822217159568,0.674160185507716,0.746642669140432,100,maintenance_age_standardized,maintenance
Base,EngraulisJaponicus,Engraulis japonicus,Prey,1,0.0439045850484223,0.0404421024583078,0.0476440156345247,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,EngraulisJaponicus,Engraulis japonicus,Prey,1,0.0530989078281196,0.0501527587246034,0.0565798856089054,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,EngraulisJaponicus,Engraulis japonicus,Prey,1,0.0630704320589536,0.0589479313867893,0.0666840705704368,100,mbi_age_standardized,metabolic_burden
Base,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,0.0103553888698186,0.0100686615985583,0.0107037775848353,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,0.0116474720330728,0.0114569237390616,0.0118635298266014,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,0.0139631058208733,0.0136912193405452,0.0142112248539186,100,mbi_age_standardized,metabolic_burden
Base,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,0.135359989518159,0.127715364300453,0.145432932189161,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,0.170487563664435,0.16236064522224,0.177386459198341,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,0.186875244007996,0.179801924256526,0.195012230231037,100,mbi_age_standardized,metabolic_burden
Base,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,0.000444862116573729,0.000424304300209894,0.000471097375297339,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,0.000636652270845339,0.000614797982268184,0.000653660912450325,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,0.000800472517186087,0.000776036458786638,0.000826371667755414,100,mbi_age_standardized,metabolic_burden
Base,MiichthysMiiuy,Miichthys miiuy,Predator,5,0.00362601448178349,0.0032580719367163,0.00410119940019903,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,MiichthysMiiuy,Miichthys miiuy,Predator,5,0.00583409291559319,0.00539946088750133,0.00624819710830028,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,MiichthysMiiuy,Miichthys miiuy,Predator,5,0.00741949238036692,0.00699069501832869,0.00800139239927666,100,mbi_age_standardized,metabolic_burden
Base,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,0.0345600217705141,0.0198332858870238,0.0490831919674162,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,0.0639682618272616,0.051961134779302,0.0770242278649591,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,0.0780120645825889,0.0618471150186367,0.0973736499571802,100,mbi_age_standardized,metabolic_burden
Base,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,0.00673052546330425,0.00519654662930592,0.00898879428107342,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,0.00995505819832879,0.00852434743383686,0.0118941266180289,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,0.0116813907329216,0.00956237638756311,0.0142522939729401,100,mbi_age_standardized,metabolic_burden
Base,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,0.0155214136585581,0.011789389630877,0.0195045053004208,100,mbi_age_standardized,metabolic_burden
SSP1-2.6,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,0.0277647977246516,0.0237689051095973,0.0329195109535832,100,mbi_age_standardized,metabolic_burden
SSP5-8.5,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,0.0301161024070573,0.0258377162749969,0.035646865198846,100,mbi_age_standardized,metabolic_burden
Base,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,0.150890128083817,0.143938858256664,0.15894754463668,100,mbi_age_standardized,metabolic_burden
