species,run,latin,group,species_order,scenario,ingestion,maintenance,ingestion_base,maintenance_base,ingestion_log2,maintenance_log2,burden_log2
DecapterusMaruadsi,46,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.858239218107,0.446773364320988,39.2944571777778,0.417827289555556,-0.0161052926326495,0.0966364557413546,0.112741748374004
DecapterusMaruadsi,46,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6593274403292,0.489597192962963,39.2944571777778,0.417827289555556,-0.0235092831755314,0.228688564334348,0.252197847509879
DecapterusMaruadsi,47,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,39.2608984403292,0.440396118641975,38.4300450555556,0.418846611555556,0.0308585197682929,0.0723797517600709,0.041521231991778
DecapterusMaruadsi,47,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.5735126707819,0.500303227572017,38.4300450555556,0.418846611555556,0.00537586217105765,0.256380757275363,0.251004895104305
DecapterusMaruadsi,48,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.6080043497942,0.449041950246914,38.9057489666667,0.406672017666667,-0.0110833697635072,0.142984505141484,0.154067874904991
DecapterusMaruadsi,48,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6775448971193,0.497297385185185,38.9057489666667,0.406672017666667,-0.00848713202386793,0.290243120302457,0.298730252326325
DecapterusMaruadsi,49,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8405085308642,0.45091060617284,38.5269386222222,0.414794441222222,0.0116945368089572,0.120444884662891,0.108750347853934
DecapterusMaruadsi,49,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6789066419753,0.503573008971193,38.5269386222222,0.414794441222222,0.00567946094929344,0.279804397747101,0.274124936797808
DecapterusMaruadsi,50,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9019897078189,0.449320330987654,39.0888072555556,0.416004213888889,-0.00691161715627344,0.111146200726907,0.118057817883181
DecapterusMaruadsi,50,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6734406502058,0.492509338641975,39.0888072555556,0.416004213888889,-0.0154124413087176,0.243552938143717,0.258965379452434
DecapterusMaruadsi,51,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.7216956049383,0.442494827942387,38.9548901444444,0.407302270777778,-0.0086623173040195,0.119560734865881,0.1282230521699
DecapterusMaruadsi,51,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.73569018107,0.496141001893004,38.9548901444444,0.407302270777778,-0.00814100082530397,0.284650331175504,0.292791332000808
DecapterusMaruadsi,52,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8351161358025,0.450893412962963,38.8164574222222,0.410558343555556,0.000693323595036685,0.135199179170617,0.13450585557558
DecapterusMaruadsi,52,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.4721995144033,0.504253256666667,38.8164574222222,0.410558343555556,-0.0128521436561071,0.296561241528282,0.309413385184389
DecapterusMaruadsi,53,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9706510082305,0.454252166378601,38.4628424555556,0.417823968222222,0.0189226483459476,0.120598140729692,0.101675492383744
DecapterusMaruadsi,53,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6795942139918,0.497190979259259,38.4628424555556,0.417823968222222,0.00810727592796511,0.250904867099828,0.242797591171863
DecapterusMaruadsi,54,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9129750288066,0.447128531728395,38.9670311333333,0.412560561111111,-0.00200273447056165,0.116083695845422,0.118086430315983
DecapterusMaruadsi,54,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6462233703704,0.498923888641975,38.9670311333333,0.412560561111111,-0.011926581548834,0.274213834902318,0.286140416451152
DecapterusMaruadsi,55,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9781598930041,0.44046254308642,39.5735166111111,0.405883407222222,-0.0218692883485318,0.117953974715673,0.139823263064205
DecapterusMaruadsi,55,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.4260460288066,0.498082627654321,39.5735166111111,0.405883407222222,-0.0424507395346335,0.295319730004602,0.337770469539236
DecapterusMaruadsi,56,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,39.2845668106996,0.451902583045268,39.0858330333333,0.408788811444444,0.00731686581148906,0.144656093149686,0.137339227338197
DecapterusMaruadsi,56,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.8629434032922,0.501235479012346,39.0858330333333,0.408788811444444,-0.00825061418623935,0.294132826501775,0.302383440688015
DecapterusMaruadsi,57,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8659702880659,0.451120191440329,39.0548715555556,0.418860526666667,-0.00699498232481674,0.107041928980984,0.114036911305801
DecapterusMaruadsi,57,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.5684584691358,0.505459917283951,39.0548715555556,0.418860526666667,-0.0180810313782563,0.271126760361765,0.289207791740022
DecapterusMaruadsi,58,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9463313662551,0.443811481234568,38.9532816888889,0.416330545555556,-0.000257438917337658,0.0922175792309499,0.0924750181482875
DecapterusMaruadsi,58,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.8703118477366,0.495553069958848,38.9532816888889,0.416330545555556,-0.00307619369102885,0.251310156574419,0.254386350265448
DecapterusMaruadsi,59,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8400087201646,0.444256896954733,39.5964951222222,0.409521139333333,-0.0278292113590274,0.117456248648997,0.145285460008025
DecapterusMaruadsi,59,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.3985110288066,0.503850568641975,39.5964951222222,0.409521139333333,-0.0443223670817553,0.299057999323803,0.343380366405558
DecapterusMaruadsi,60,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9215487160494,0.440099117654321,38.7168974666667,0.411052924,0.00760576855764876,0.0985043231680739,0.0908985546104252
DecapterusMaruadsi,60,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.4577816748971,0.494899870288066,38.7168974666667,0.411052924,-0.00968780114605313,0.267812507940811,0.277500309086864
DecapterusMaruadsi,61,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9465197572017,0.4467947281893,38.7105922777778,0.411485900777778,0.00876603424600634,0.118769164557655,0.110003130311648
DecapterusMaruadsi,61,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.3937773374486,0.495419149300412,38.7105922777778,0.411485900777778,-0.0118558758172602,0.26780663500964,0.2796625108269
