scenario,run,group,indicator,value
Base,67,Mid-trophic species,biomass,2541098.30747333
Base,68,Mid-trophic species,biomass,2483606.58551667
Base,69,Mid-trophic species,biomass,2462596.44619667
Base,70,Mid-trophic species,biomass,2500416.23933
Base,71,Mid-trophic species,biomass,2683561.84989
Base,72,Mid-trophic species,biomass,2460060.06456
Base,73,Mid-trophic species,biomass,2482715.62596667
Base,74,Mid-trophic species,biomass,2486625.31324533
Base,75,Mid-trophic species,biomass,2538564.27240333
Base,76,Mid-trophic species,biomass,2456476.49733667
Base,77,Mid-trophic species,biomass,2554714.58745667
Base,78,Mid-trophic species,biomass,2481319.10996
Base,79,Mid-trophic species,biomass,2475154.31594333
Base,80,Mid-trophic species,biomass,2496058.25344
Base,81,Mid-trophic species,biomass,2512623.65129667
Base,82,Mid-trophic species,biomass,2549010.30327
Base,83,Mid-trophic species,biomass,2489450.21870667
Base,84,Mid-trophic species,biomass,2477212.29551
Base,85,Mid-trophic species,biomass,2513909.44491333
Base,86,Mid-trophic species,biomass,2580051.41707
Base,87,Mid-trophic species,biomass,2570672.14442
Base,88,Mid-trophic species,biomass,2521338.98750333
Base,89,Mid-trophic species,biomass,2545676.86088333
Base,90,Mid-trophic species,biomass,2447164.64678
Base,91,Mid-trophic species,biomass,2571012.98956333
Base,92,Mid-trophic species,biomass,2537068.07235
Base,93,Mid-trophic species,biomass,2633771.32217333
Base,94,Mid-trophic species,biomass,2560955.44692333
Base,95,Mid-trophic species,biomass,2428247.38909
Base,96,Mid-trophic species,biomass,2549767.32870667
Base,97,Mid-trophic species,biomass,2542672.53155
Base,98,Mid-trophic species,biomass,2437918.28152
Base,99,Mid-trophic species,biomass,2574527.90352433
Base,100,Mid-trophic species,biomass,2474177.44898333
SSP1-2.6,1,Prey,biomass,836226.328271605
SSP1-2.6,2,Prey,biomass,811334.764691358
SSP1-2.6,3,Prey,biomass,807228.707283951
SSP1-2.6,4,Prey,biomass,823095.404691358
SSP1-2.6,5,Prey,biomass,818772.185555556
SSP1-2.6,6,Prey,biomass,812238.322839506
SSP1-2.6,7,Prey,biomass,785436.626666667
SSP1-2.6,8,Prey,biomass,803467.049506173
SSP1-2.6,9,Prey,biomass,863607.00308642
SSP1-2.6,10,Prey,biomass,856657.143580247
SSP1-2.6,11,Prey,biomass,805841.161728395
SSP1-2.6,12,Prey,biomass,807753.49617284
SSP1-2.6,13,Prey,biomass,781506.505185185
SSP1-2.6,14,Prey,biomass,815382.099259259
SSP1-2.6,15,Prey,biomass,855602.653209877
SSP1-2.6,16,Prey,biomass,826337.335555556
SSP1-2.6,17,Prey,biomass,838752.952716049
SSP1-2.6,18,Prey,biomass,844698.723333333
SSP1-2.6,19,Prey,biomass,820570.619753086
SSP1-2.6,20,Prey,biomass,792858.453580247
SSP1-2.6,21,Prey,biomass,862475.986419753
SSP1-2.6,22,Prey,biomass,782867.072098765
SSP1-2.6,23,Prey,biomass,830775.784444445
SSP1-2.6,24,Prey,biomass,808241.386049383
SSP1-2.6,25,Prey,biomass,854351.925185185
SSP1-2.6,26,Prey,biomass,842037.918148148
SSP1-2.6,27,Prey,biomass,859503.111234568
SSP1-2.6,28,Prey,biomass,847372.456419753
SSP1-2.6,29,Prey,biomass,803778.039506173
SSP1-2.6,30,Prey,biomass,830263.881851852
SSP1-2.6,31,Prey,biomass,807954.27962963
SSP1-2.6,32,Prey,biomass,822585.982839506
SSP1-2.6,33,Prey,biomass,852643.940493827
SSP1-2.6,34,Prey,biomass,785922.007283951
SSP1-2.6,35,Prey,biomass,829626.852345679
SSP1-2.6,36,Prey,biomass,836122.494320988
SSP1-2.6,37,Prey,biomass,794480.305679013
SSP1-2.6,38,Prey,biomass,819697.428024692
SSP1-2.6,39,Prey,biomass,806681.555555556
SSP1-2.6,40,Prey,biomass,798472.516419753
SSP1-2.6,41,Prey,biomass,815972.682222222
SSP1-2.6,42,Prey,biomass,829382.970617284
SSP1-2.6,43,Prey,biomass,763271.665308642
SSP1-2.6,44,Prey,biomass,815062.777901234
SSP1-2.6,45,Prey,biomass,809509.127160494
SSP1-2.6,46,Prey,biomass,830171.265061728
SSP1-2.6,47,Prey,biomass,819915.029506173
SSP1-2.6,48,Prey,biomass,815755.962469136
SSP1-2.6,49,Prey,biomass,826545.320864198
SSP1-2.6,50,Prey,biomass,831941.034444444
SSP1-2.6,51,Prey,biomass,813648.093703704
SSP1-2.6,52,Prey,biomass,780390.406296296
SSP1-2.6,53,Prey,biomass,844896.749753087
SSP1-2.6,54,Prey,biomass,806995.846296296
SSP1-2.6,55,Prey,biomass,820188.141111111
SSP1-2.6,56,Prey,biomass,802241.297407408
SSP1-2.6,57,Prey,biomass,809816.608395061
SSP1-2.6,58,Prey,biomass,788353.647283951
SSP1-2.6,59,Prey,biomass,801426.629506173
SSP1-2.6,60,Prey,biomass,827000.306666667
SSP1-2.6,61,Prey,biomass,777706.206419753
SSP1-2.6,62,Prey,biomass,789440.589382716
SSP1-2.6,63,Prey,biomass,838578.404691358
SSP1-2.6,64,Prey,biomass,818188.821604939
SSP1-2.6,65,Prey,biomass,798550.714567901
SSP1-2.6,66,Prey,biomass,814043.679876544
SSP1-2.6,67,Prey,biomass,791338.830987654
SSP1-2.6,68,Prey,biomass,824651.484197531
SSP1-2.6,69,Prey,biomass,822633.449012346
SSP1-2.6,70,Prey,biomass,805722.770246914
SSP1-2.6,71,Prey,biomass,823842.629135803
SSP1-2.6,72,Prey,biomass,798989.055061729
SSP1-2.6,73,Prey,biomass,838588.401358025
SSP1-2.6,74,Prey,biomass,836308.369876543
SSP1-2.6,75,Prey,biomass,805799.780987654
SSP1-2.6,76,Prey,biomass,836773.720987655
SSP1-2.6,77,Prey,biomass,848228.538024692
SSP1-2.6,78,Prey,biomass,813189.332345679
SSP1-2.6,79,Prey,biomass,827267.745061728
SSP1-2.6,80,Prey,biomass,772051.257530864
SSP1-2.6,81,Prey,biomass,810924.422345679
SSP1-2.6,82,Prey,biomass,786655.805432099
SSP1-2.6,83,Prey,biomass,804722.224444445
SSP1-2.6,84,Prey,biomass,804324.944444445
SSP1-2.6,85,Prey,biomass,829166.98728395
SSP1-2.6,86,Prey,biomass,807796.799753086
SSP1-2.6,87,Prey,biomass,775835.106296296
SSP1-2.6,88,Prey,biomass,839277.354197531
SSP1-2.6,89,Prey,biomass,786872.040617284
SSP1-2.6,90,Prey,biomass,795522.49308642
SSP1-2.6,91,Prey,biomass,813624.411604938
SSP1-2.6,92,Prey,biomass,813874.577037037
SSP1-2.6,93,Prey,biomass,815916.977407408
SSP1-2.6,94,Prey,biomass,798505.91308642
SSP1-2.6,95,Prey,biomass,793950.717160494
SSP1-2.6,96,Prey,biomass,871243.021481481
SSP1-2.6,97,Prey,biomass,811255.977530865
SSP1-2.6,98,Prey,biomass,813496.515432099
SSP1-2.6,99,Prey,biomass,841184.792592593
SSP1-2.6,100,Prey,biomass,816346.50728395
SSP1-2.6,1,Predator,biomass,2450771.18898765
SSP1-2.6,2,Predator,biomass,2473253.74125926
SSP1-2.6,3,Predator,biomass,2481468.2831358
SSP1-2.6,4,Predator,biomass,2460029.7465679
SSP1-2.6,5,Predator,biomass,2449013.78062963
SSP1-2.6,6,Predator,biomass,2474711.79493827
SSP1-2.6,7,Predator,biomass,2486287.1134321
SSP1-2.6,8,Predator,biomass,2458633.42107407
SSP1-2.6,9,Predator,biomass,2499539.58104938
SSP1-2.6,10,Predator,biomass,2464680.94485185
SSP1-2.6,11,Predator,biomass,2479446.8192963
SSP1-2.6,12,Predator,biomass,2473965.8042963
SSP1-2.6,13,Predator,biomass,2478410.79534568
SSP1-2.6,14,Predator,biomass,2449406.65296296
SSP1-2.6,15,Predator,biomass,2444294.64401235
SSP1-2.6,16,Predator,biomass,2488064.6247284
SSP1-2.6,17,Predator,biomass,2572150.97583951
SSP1-2.6,18,Predator,biomass,2454566.13809877
SSP1-2.6,19,Predator,biomass,2499381.84516049
SSP1-2.6,20,Predator,biomass,2509527.57951852
SSP1-2.6,21,Predator,biomass,2519443.56932099
SSP1-2.6,22,Predator,biomass,2514024.02481481
SSP1-2.6,23,Predator,biomass,2450275.71944445
SSP1-2.6,24,Predator,biomass,2498043.45396296
SSP1-2.6,25,Predator,biomass,2459945.68830864
SSP1-2.6,26,Predator,biomass,2552873.59337037
SSP1-2.6,27,Predator,biomass,2504453.77619753
