scenario,run,species,latin,group,species_order,biomass,yield
Base,70,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1684189.93833333,245618.680666667
Base,71,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1681206.86333333,245047.475
Base,72,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1611465.45,236080.904333333
Base,73,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1581079.49666667,232337.155333333
Base,74,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1649114.70666667,240999.964
Base,75,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1774503.82666667,259142.131666667
Base,76,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1668671.59333333,243510.389333333
Base,77,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1631497.32,239168.679666667
Base,78,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1746290.62333333,253869.501333333
Base,79,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1713647.73333333,249007.598666667
Base,80,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1705884.41666667,249079.316333333
Base,81,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1621224.4,236542.873333333
Base,82,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1692472.25,247433.033666667
Base,83,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1578290.21,232117.160666667
Base,84,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1577691.86666667,231577.604333333
Base,85,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1689121.51,246593.688666667
Base,86,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1794160.60666667,261031.183
Base,87,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1665042.09666667,242439.571333333
Base,88,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1566467.54666667,230141.248666667
Base,89,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1684015.95333333,245351.323666667
