scenario,run,group,age_mature
SSP1-2.6,99,Predator,0.751861013505402
SSP1-2.6,100,Predator,0.751686898193038
SSP1-2.6,1,Invertebrate,0.979341918245556
SSP1-2.6,2,Invertebrate,0.959203476154952
SSP1-2.6,3,Invertebrate,0.955969740493261
SSP1-2.6,4,Invertebrate,0.958311565756391
SSP1-2.6,5,Invertebrate,0.95775558078991
SSP1-2.6,6,Invertebrate,0.957924613449417
SSP1-2.6,7,Invertebrate,0.973482030406126
SSP1-2.6,8,Invertebrate,0.971230609627775
SSP1-2.6,9,Invertebrate,0.954026790729628
SSP1-2.6,10,Invertebrate,0.956304055661819
SSP1-2.6,11,Invertebrate,0.947613321502844
SSP1-2.6,12,Invertebrate,0.974614375580917
SSP1-2.6,13,Invertebrate,0.944823613336147
SSP1-2.6,14,Invertebrate,0.965347206955114
SSP1-2.6,15,Invertebrate,0.975173218355686
SSP1-2.6,16,Invertebrate,0.955118557020094
SSP1-2.6,17,Invertebrate,0.964939377228859
SSP1-2.6,18,Invertebrate,0.957371159894398
SSP1-2.6,19,Invertebrate,0.93851853659469
SSP1-2.6,20,Invertebrate,0.958649231823208
SSP1-2.6,21,Invertebrate,0.964395884851955
SSP1-2.6,22,Invertebrate,0.9504038149833
SSP1-2.6,23,Invertebrate,0.96854537742268
SSP1-2.6,24,Invertebrate,0.940056807013134
SSP1-2.6,25,Invertebrate,0.96257520519772
SSP1-2.6,26,Invertebrate,0.966266967066444
SSP1-2.6,27,Invertebrate,0.972752344058429
SSP1-2.6,28,Invertebrate,0.951973614113145
SSP1-2.6,29,Invertebrate,0.948201254821985
SSP1-2.6,30,Invertebrate,0.968272480420257
SSP1-2.6,31,Invertebrate,0.945009632245641
SSP1-2.6,32,Invertebrate,0.9629774295633
SSP1-2.6,33,Invertebrate,0.957563160515574
SSP1-2.6,34,Invertebrate,0.966942529368573
SSP1-2.6,35,Invertebrate,0.954199552037907
SSP1-2.6,36,Invertebrate,0.960480225062371
SSP1-2.6,37,Invertebrate,0.975494881585197
SSP1-2.6,38,Invertebrate,0.950003085246822
SSP1-2.6,39,Invertebrate,0.967422471000764
SSP1-2.6,40,Invertebrate,0.946401956467758
SSP1-2.6,41,Invertebrate,0.944926836039987
SSP1-2.6,42,Invertebrate,0.949399341237645
SSP1-2.6,43,Invertebrate,0.959222314835871
SSP1-2.6,44,Invertebrate,0.953893015364131
SSP1-2.6,45,Invertebrate,0.943834250522241
SSP1-2.6,46,Invertebrate,0.964910021800128
SSP1-2.6,47,Invertebrate,0.955000980286234
SSP1-2.6,48,Invertebrate,0.949136461652469
SSP1-2.6,49,Invertebrate,0.962611948630058
SSP1-2.6,50,Invertebrate,0.949847357537792
SSP1-2.6,51,Invertebrate,0.96349752961085
SSP1-2.6,52,Invertebrate,0.963012004216855
SSP1-2.6,53,Invertebrate,0.94842388235096
SSP1-2.6,54,Invertebrate,0.954617515804877
SSP1-2.6,55,Invertebrate,0.966898615559482
SSP1-2.6,56,Invertebrate,0.95215324237314
SSP1-2.6,57,Invertebrate,0.946632908946476
SSP1-2.6,58,Invertebrate,0.973019831412188
SSP1-2.6,59,Invertebrate,0.959669398919132
SSP1-2.6,60,Invertebrate,0.972167331132621
SSP1-2.6,61,Invertebrate,0.960184674537829
SSP1-2.6,62,Invertebrate,0.948418653634872
SSP1-2.6,63,Invertebrate,0.959943337411597
SSP1-2.6,64,Invertebrate,0.957660568214613
SSP1-2.6,65,Invertebrate,0.96152587040037
SSP1-2.6,66,Invertebrate,0.952178418580766
SSP1-2.6,67,Invertebrate,0.945772464985753
SSP1-2.6,68,Invertebrate,0.948506539993454
