run,species,scenario,age_future,latin,group,species_order,age_base,log2_response,paired_change_years
56,DecapterusMaruadsi,SSP1-2.6,0.536468526049383,Decapterus maruadsi,Mid-trophic species,10,0.538507393,-0.00547261890002974,-0.00203886695061695
56,DecapterusMaruadsi,SSP5-8.5,0.533974591234568,Decapterus maruadsi,Mid-trophic species,10,0.538507393,-0.0121950571904274,-0.00453280176543192
56,EngraulisJaponicus,SSP1-2.6,0.676913844320988,Engraulis japonicus,Prey,1,0.710649786333333,-0.0701665404474324,-0.033735942012345
56,EngraulisJaponicus,SSP5-8.5,0.649798781604938,Engraulis japonicus,Prey,1,0.710649786333333,-0.129145725221851,-0.060851004728395
56,LarimichthysPolyactis,SSP1-2.6,0.885644014074074,Larimichthys polyactis,Mid-trophic species,13,0.866652605333333,0.0312731118227633,0.018991408740741
56,LarimichthysPolyactis,SSP5-8.5,0.851699021604938,Larimichthys polyactis,Mid-trophic species,13,0.866652605333333,-0.02511011757925,-0.0149535837283949
56,MiichthysMiiuy,SSP1-2.6,0.588101779259259,Miichthys miiuy,Predator,5,0.577280692666667,0.0267928805099377,0.010821086592592
56,MiichthysMiiuy,SSP5-8.5,0.587145865308642,Miichthys miiuy,Predator,5,0.577280692666667,0.0244459834511429,0.00986517264197495
56,MuraenesoxCinereus,SSP1-2.6,0.702501421604938,Muraenesox cinereus,Predator,4,0.698016547666667,0.00923990644729548,0.00448487393827102
56,MuraenesoxCinereus,SSP5-8.5,0.702099364567901,Muraenesox cinereus,Predator,4,0.698016547666667,0.00841398392889761,0.00408281690123402
56,PampusArgenteus,SSP1-2.6,0.43580002617284,Pampus argenteus,Mid-trophic species,12,0.439077549666667,-0.0108094872751816,-0.00327752349382698
56,PampusArgenteus,SSP5-8.5,0.436058780987654,Pampus argenteus,Mid-trophic species,12,0.439077549666667,-0.00995314609692492,-0.00301876867901302
56,PennahiaArgentata,SSP1-2.6,0.603285082839506,Pennahia argentata,Mid-trophic species,11,0.562883345,0.100003948598534,0.040401737839506
56,PennahiaArgentata,SSP5-8.5,0.602987989506173,Pennahia argentata,Mid-trophic species,11,0.562883345,0.099293305051607,0.040104644506173
56,PortunusTrituberculatus,SSP1-2.6,1.02917056802469,Portunus trituberculatus,Invertebrate,8,1.01978846,0.0132121873943629,0.00938210802469008
56,PortunusTrituberculatus,SSP5-8.5,1.00722047061728,Portunus trituberculatus,Invertebrate,8,1.01978846,-0.017890407916917,-0.01256798938272
56,ScomberJaponicus,SSP1-2.6,0.793904483580247,Scomber japonicus,Mid-trophic species,9,0.795448844333333,-0.00280370923433731,-0.00154436075308595
56,ScomberJaponicus,SSP5-8.5,0.790083098024691,Scomber japonicus,Mid-trophic species,9,0.795448844333333,-0.00976475457353509,-0.00536574630864195
56,ScomberomorusNiphonius,SSP1-2.6,0.664475188518519,Scomberomorus niphonius,Predator,2,0.656752841333333,0.016864793366625,0.00772234718518605
56,ScomberomorusNiphonius,SSP5-8.5,0.668140707283951,Scomberomorus niphonius,Predator,2,0.656752841333333,0.0248014225163009,0.011387865950618
56,TodarodesPacificus,SSP1-2.6,1.00575904135802,Todarodes pacificus,Invertebrate,6,1.01745988033333,-0.0166872011587512,-0.0117008389753099
56,TodarodesPacificus,SSP5-8.5,1.01184868037037,Todarodes pacificus,Invertebrate,6,1.01745988033333,-0.00797835395567381,-0.00561119996296
56,TrachurusJaponicus,SSP1-2.6,0.469218473950617,Trachurus japonicus,Mid-trophic species,14,0.482274253333333,-0.0395939766103308,-0.013055779382716
56,TrachurusJaponicus,SSP5-8.5,0.464092255679012,Trachurus japonicus,Mid-trophic species,14,0.482274253333333,-0.0554421691030034,-0.018181997654321
