run,group,scenario,age_future,age_base,log2_response,paired_change_years
7,Mid-trophic species,SSP5-8.5,0.595762626573055,0.595897094569443,-0.000325590114239187,-0.000134467996387944
8,Prey,SSP1-2.6,0.67523644308642,0.700516539666667,-0.053026344430998,-0.0252800965802471
8,Prey,SSP5-8.5,0.680644111234568,0.700516539666667,-0.041518461437394,-0.019872428432099
8,Predator,SSP1-2.6,0.745099583300917,0.772152482727353,-0.0514525193212156,-0.0270528994264357
8,Predator,SSP5-8.5,0.747396046985496,0.772152482727353,-0.0470128421567399,-0.0247564357418568
8,Invertebrate,SSP1-2.6,0.971230609627775,0.96134584914925,0.0147583493726786,0.00988476047852494
8,Invertebrate,SSP5-8.5,0.952553819472008,0.96134584914925,-0.0132549339423999,-0.00879202967724158
8,Mid-trophic species,SSP1-2.6,0.595929257536855,0.598469987795479,-0.00613782114729238,-0.00254073025862345
8,Mid-trophic species,SSP5-8.5,0.595627244097129,0.598469987795479,-0.00686915583516934,-0.00284274369834958
9,Prey,SSP1-2.6,0.681978176296296,0.702737279333333,-0.0432598608622286,-0.020759103037037
9,Prey,SSP5-8.5,0.660917574320988,0.702737279333333,-0.088515075086396,-0.041819705012345
9,Predator,SSP1-2.6,0.757483160506332,0.751524657726496,0.0113933764754715,0.00595850277983612
9,Predator,SSP5-8.5,0.749364820659226,0.751524657726496,-0.00415218898106454,-0.00215983706727008
9,Invertebrate,SSP1-2.6,0.954026790729628,0.926064510866308,0.0429170831710514,0.0279622798633203
9,Invertebrate,SSP5-8.5,0.942951029345593,0.926064510866308,0.0260701517734266,0.0168865184792857
9,Mid-trophic species,SSP1-2.6,0.600104885108227,0.59819984516929,0.00458713700878687,0.0019050399389372
9,Mid-trophic species,SSP5-8.5,0.596814460046469,0.59819984516929,-0.00334504638663463,-0.00138538512282116
10,Prey,SSP1-2.6,0.675843005925926,0.722169847333333,-0.0956500284265779,-0.046326841407407
10,Prey,SSP5-8.5,0.682010756790124,0.722169847333333,-0.0825436910182838,-0.040159090543209
10,Predator,SSP1-2.6,0.738184085804839,0.759726626112441,-0.041499748739238,-0.0215425403076023
10,Predator,SSP5-8.5,0.742385707895376,0.759726626112441,-0.0333114476516616,-0.0173409182170649
10,Invertebrate,SSP1-2.6,0.956304055661819,0.953608042360714,0.00407299121997419,0.00269601330110525
10,Invertebrate,SSP5-8.5,0.94636525483507,0.953608042360714,-0.0109992959120938,-0.00724278752564345
10,Mid-trophic species,SSP1-2.6,0.598265044255811,0.595766615187954,0.00603748896968294,0.00249842906785747
