scenario,run,n_years,start_time,end_time,total_biomass,biomass_temporal_sd,biomass_stability,community_mean_tl,predator_biomass_proportion,total_yield,biomass_yield_ratio,mean_ingestion,mean_maintenance,mean_net_energy,mean_metabolic_burden,mean_species_length,mean_maturation_age,gonadal_allocation_bias,log_total_biomass,log_biomass_stability,predator_share_logit,log_biomass_yield_ratio,log_mean_ingestion,log_mean_maintenance,log_mean_net_energy,log_mean_metabolic_burden,log_mean_species_length,log_mean_maturation_age
Base,48,30,21,50,7612145.93234333,340473.184691099,22.3575490658673,2.62265046862998,0.346224158902953,1449263.44816467,5.25181369226192,48.9370907941088,0.479356117650492,37.2315692819883,0.0312044412516871,17.9991887717857,0.743784725619048,5.64831219558317,6.88150710554824,3.10716402984016,-0.635678118699365,0.720309311123126,3.89053561190986,-0.735311497152978,3.61715703800324,-3.46719484648671,2.89032668864643,-0.296003633304273
Base,49,30,21,50,7611879.37072333,311262.099448624,24.4548866829825,2.62004932730877,0.335255780059217,1443750.6796,5.2727495081198,49.24090474039,0.469039046135918,36.4627284085187,0.0308164371040698,18.010356929,0.747154044142857,5.90700819309768,6.88149189718667,3.19683006028533,-0.684508571943301,0.722037139845524,3.89672467524148,-0.757069259980134,3.59629059937768,-3.47970705914492,2.89094697737016,-0.291483898050424
Base,50,30,21,50,7747728.17135,484609.49407068,15.9875699220618,2.61300268309091,0.332345405480821,1478980.18528667,5.23687028563414,49.2604040738186,0.461715965786474,36.6945775296423,0.0298277706453126,18.0517300675238,0.750934722666667,5.91471668196577,6.88917437511449,2.77181154044109,-0.697596159681964,0.719071816801811,3.89712059553773,-0.772805369632876,3.60262899290833,-3.51231541857138,2.89324152880198,-0.28643655154619
Base,51,30,21,50,7845234.39577767,310604.827576345,25.2579280785626,2.6209422122709,0.341288449879798,1481105.19322367,5.29728296442977,49.6458471280857,0.476810508118701,37.0888421386978,0.0309941434721562,18.1866650952619,0.747382986880953,5.73793157257717,6.89460592373839,3.22914008974834,-0.65755771642072,0.724053172219753,3.90491474405406,-0.740636124634292,3.61331617340025,-3.4739570125977,2.90068863846287,-0.291177525260544
Base,52,30,21,50,7684243.29826667,339609.125880008,22.626727943058,2.6103579797285,0.331427353027778,1469514.86358667,5.22976169083006,49.3650985277823,0.472284529081395,36.0830224258275,0.0309910590085471,17.9557023778095,0.757772951928572,5.77172902665966,6.88560110702541,3.11913185984354,-0.701736422860075,0.718481899437923,3.89924366696504,-0.750173659166659,3.58582246180307,-3.4740565351769,2.88790774569931,-0.277371473923833
Base,53,30,21,50,7518926.76980667,286690.075866389,26.2266726432165,2.61733066933335,0.329316514508021,1443122.030258,5.21038005195821,49.1208809604314,0.486356987785521,37.3015956972626,0.0313247350867252,17.8166709311905,0.745005079523809,5.76853064967212,6.87615585505787,3.26677693273337,-0.711277981540373,0.716869402464303,3.89428421854026,-0.720812381957585,3.6190361058222,-3.46334723516393,2.88013458815879,-0.294364242473057
Base,54,30,21,50,7605521.23614333,507886.181771361,14.9748536367291,2.61754398276174,0.330090639904374,1451359.20782333,5.23841360866831,48.9538761043174,0.459512251875953,36.8678209396575,0.0296795260949403,17.7986819746905,0.739355209238095,5.83488464606454,6.88112898330994,2.70637237011262,-0.707775136670506,0.719199785969835,3.89087855081229,-0.777589674046859,3.60733910932396,-3.51729782796204,2.87912440819077,-0.301976811487732
Base,55,30,21,50,7665730.78039,380096.658723683,20.1678457425292,2.61426626105853,0.330692908387526,1462606.79623767,5.2409760961539,48.7624457377591,0.485311584010953,37.548121370474,0.0315504315023508,17.9164152317381,0.752611183833334,5.6643973794212,6.88455356281239,3.00408954123128,-0.705052810105848,0.719412178910353,3.88696046204588,-0.722964153062001,3.62562334687801,-3.45616801331029,2.88571734466378,-0.28420654067101
Base,56,30,21,50,7599867.05572,394641.557944862,19.257645077465,2.61927629850053,0.341572994697442,1443676.15653767,5.2628410222899,49.1467478363894,0.478544492924342,36.8083267793395,0.0311964728687383,17.8854103121429,0.744645860880952,5.75967949877234,6.88080599524498,2.95790812877314,-0.656292261626853,0.721220251228556,3.89481067627354,-0.737006088243984,3.60572409075713,-3.46745023963613,2.88398531413879,-0.294846528141567
Base,57,30,21,50,7720040.37101,324587.538459214,23.7841551393387,2.61606065338778,0.33130021053645,1465529.10845667,5.26662807336902,48.9630869298861,0.47430760820822,36.8867416708695,0.030759209045202,17.9698949397619,0.752234362761906,5.8321047463637,6.88761957143172,3.16901960851924,-0.702310269424023,0.721532649782048,3.89106668625502,-0.745899205307543,3.60785218216874,-3.48156584842036,2.88869785435444,-0.284707350976967
