scenario,run,n_years,start_time,end_time,total_biomass,biomass_temporal_sd,biomass_stability,community_mean_tl,predator_biomass_proportion,total_yield,biomass_yield_ratio
SSP1-2.6,56,81,21,101,7399530.84829136,371513.877625196,19.9172394194017,2.63738360113698,0.342446982320075,1439587.88290556,5.14022394077958
SSP1-2.6,57,81,21,101,7284587.3497358,317852.9551773,22.9181048377305,2.63589296360755,0.337766624247589,1419802.55258926,5.13168426168913
SSP1-2.6,58,81,21,101,7353381.17565062,335426.923292425,21.9224536404907,2.62901495382568,0.332438626499326,1436842.2756384,5.11916525093784
SSP1-2.6,59,81,21,101,7494429.21009296,300047.312773154,24.9774915190093,2.63532672747577,0.340820147231812,1456522.54372531,5.1462972886299
SSP1-2.6,60,81,21,101,7430005.23487654,321219.907442953,23.1305876837539,2.6381968047971,0.338169293712575,1443093.22892284,5.14916785870052
SSP1-2.6,61,81,21,101,7431094.75377284,335360.227956499,22.1585451532337,2.63860442176062,0.337543970348627,1442577.93754778,5.1524345526018
SSP1-2.6,62,81,21,101,7375657.40108519,406934.663233246,18.1249179966211,2.63803025880133,0.343414843212587,1431459.71853123,5.15290800403504
SSP1-2.6,63,81,21,101,7418413.6157,349009.378324536,21.2556282908873,2.63519186368358,0.334150354639314,1443436.25165383,5.13959738417795
SSP1-2.6,64,81,21,101,7415628.7059284,327159.701381157,22.6666935891619,2.63508528156723,0.339423536912984,1440495.90174679,5.14757867552314
SSP1-2.6,65,81,21,101,7368189.73825926,363476.387171601,20.2714399017636,2.63757029205896,0.337192061946142,1433992.76968642,5.13903140751056
SSP1-2.6,66,81,21,101,7427445.21608395,391781.606338782,18.9581264048963,2.63718349489936,0.3321948576683,1446263.66763889,5.1356334143825
SSP1-2.6,67,81,21,101,7396021.2392679,307248.42642499,24.0717953394418,2.63573099989302,0.328924085221876,1441467.58039284,5.13168665216489
SSP1-2.6,68,81,21,101,7499895.93464074,354843.607167868,21.1357786448516,2.63686408468551,0.341500751107535,1458927.17577605,5.14093594999041
SSP1-2.6,69,81,21,101,7437348.88446173,389070.299900305,19.1156942238137,2.63456252712375,0.336540000234812,1446338.59704926,5.14302287223205
SSP1-2.6,70,81,21,101,7438708.30769012,459825.561639432,16.1772396496807,2.63216648691012,0.334890759060203,1450385.56610802,5.12793379648702
SSP1-2.6,71,81,21,101,7469747.13198148,342700.464656157,21.796723093084,2.64044136863665,0.33748510307603,1456585.71290753,5.12884014323795
SSP1-2.6,72,81,21,101,7521604.62983827,320294.532235046,23.4834000360599,2.63647883596888,0.336030500870192,1460663.75134864,5.14978346664387
SSP1-2.6,73,81,21,101,7462640.05707161,368907.844555809,20.2290088627883,2.63335619864318,0.33018100234093,1449028.04156963,5.14997718723133
SSP1-2.6,74,81,21,101,7504917.49490494,356715.246814664,21.0389591191324,2.63709271993546,0.337517509079379,1454389.26265494,5.16063380413512
SSP1-2.6,75,81,21,101,7311950.68907161,317423.997338937,23.0352800997087,2.63399274299552,0.338616602493991,1425378.65954827,5.12999530425159
SSP1-2.6,76,81,21,101,7424692.65194765,305166.450358063,24.3299767822969,2.63470778021965,0.3422885482416,1440598.25038173,5.15411348074451
SSP1-2.6,77,81,21,101,7499705.86068765,369282.716392508,20.3088461164705,2.63225230755059,0.329461055109708,1451580.71650469,5.16673938220055
SSP1-2.6,78,81,21,101,7452123.69896914,356993.341466331,20.8746854167081,2.63535760288426,0.333473562366953,1449533.8513642,5.14124083140399
SSP1-2.6,79,81,21,101,7417865.63130864,352250.58602975,21.058490533447,2.63530185268529,0.332445886271518,1446315.63116012,5.12917031005462
SSP1-2.6,80,81,21,101,7482387.83675185,331854.137292744,22.5472187804948,2.6359603556567,0.336044611750744,1451666.82176099,5.15547153922222
SSP1-2.6,81,81,21,101,7349686.41292716,288304.473665777,25.4927935022175,2.63568488122939,0.336103917691959,1426681.51836173,5.15161598210411
SSP1-2.6,82,81,21,101,7350255.70697531,391955.740569427,18.7527696272466,2.6371496281573,0.333817393065953,1429129.43539284,5.1429154242529
SSP1-2.6,83,81,21,101,7380600.16192222,341701.397204902,21.5995609684219,2.63366019223957,0.337783327548446,1437762.22310864,5.13378435605396
SSP1-2.6,84,81,21,101,7420733.5256037,367158.314660616,20.2112637227434,2.6364474398743,0.336453259985758,1444641.83792148,5.1374745112303
SSP1-2.6,85,81,21,101,7434584.11690124,327442.965527618,22.7049742996362,2.63816908972603,0.336331437218167,1440580.32592037,5.1609440344294
SSP1-2.6,86,81,21,101,7399814.34358642,339381.47776814,21.8038249825816,2.63536235136428,0.339204629788501,1438626.8193,5.14473391620215
SSP1-2.6,87,81,21,101,7428452.57142963,331725.524495766,22.393370491225,2.63379634410073,0.342315465752644,1450130.30353704,5.12326745038255
SSP1-2.6,88,81,21,101,7425377.11131111,392893.845195214,18.899194278856,2.63552193479835,0.33873762199391,1444209.35797889,5.14123938407594
SSP1-2.6,89,81,21,101,7412105.16465679,329596.173005797,22.4884442591099,2.63715731286332,0.340223992234831,1444597.21188543,5.1308242456413
SSP1-2.6,90,81,21,101,7334504.69812099,329928.717664406,22.2305737737612,2.63627004378365,0.329839711258705,1428885.99444852,5.1323195094959
SSP1-2.6,91,81,21,101,7307461.56548519,345064.561996635,21.1770850162134,2.63464636025995,0.334885843290029,1419272.4780779,5.14872398560302
SSP1-2.6,92,81,21,101,7444764.42899259,374736.553569997,19.8666619470897,2.6321990839543,0.336166528956472,1455182.63262716,5.11620515999374
SSP1-2.6,93,81,21,101,7418395.8241642,377422.109365508,19.6554352277756,2.64041964040902,0.338700589867591,1442563.20184469,5.1422165873112
SSP1-2.6,94,81,21,101,7390957.44977037,397529.299640525,18.5922332176617,2.63394753851252,0.332747820907337,1437373.08778667,5.14139585643685
SSP1-2.6,95,81,21,101,7384436.89544444,356357.636811562,20.7219830098639,2.63708949712732,0.34353510607729,1436606.08147111,5.14087957999469
SSP1-2.6,96,81,21,101,7552603.1793979,397884.805154422,18.981883905988,2.63388034414985,0.32997902108783,1464744.46626716,5.15629736704289
SSP1-2.6,97,81,21,101,7433848.88518025,320421.348507435,23.200229696954,2.63567537542003,0.335225333503937,1440918.44289716,5.15977533439124
SSP1-2.6,98,81,21,101,7388114.22576667,388393.200540065,19.0222542915103,2.63288781285976,0.338547203938329,1440123.47177815,5.13049420632669
SSP1-2.6,99,81,21,101,7440903.95724321,332596.317016911,22.3721778520622,2.63460315648803,0.338003383129496,1438166.62131309,5.1738498615895
SSP1-2.6,100,81,21,101,7432110.21140494,295890.300296157,25.1177892751676,2.6370552870138,0.342369560417226,1441453.66024383,5.15655745798845
SSP5-8.5,1,81,21,101,7434014.91287284,344142.713090136,21.6015467714575,2.64973186685311,0.335239809806246,1457839.21541383,5.10011033103642
SSP5-8.5,2,81,21,101,7458485.86989753,382077.583048777,19.5208674907927,2.64993745600426,0.336060442779647,1456573.47188568,5.12009315305178
SSP5-8.5,3,81,21,101,7362569.13105309,366809.341502452,20.0719237435338,2.64894386227478,0.346214521032796,1444664.71408778,5.0967173053758
SSP5-8.5,4,81,21,101,7585089.10689951,419240.973036613,18.0924327409122,2.65032009800354,0.336628644816399,1475975.32679395,5.13896711595133
SSP5-8.5,5,81,21,101,7521456.5464642,395269.159307531,19.0286956858486,2.64768559451101,0.338112590326872,1463324.05632753,5.14144723070709
SSP5-8.5,6,81,21,101,7499418.09112284,388774.035715693,19.2899149690312,2.64937129626934,0.344064943989265,1457023.43970704,5.14793386292883
SSP5-8.5,7,81,21,101,7470719.53217284,335879.895582433,22.2422348894037,2.64616438599787,0.340126569169439,1465714.95405642,5.09772210936662
SSP5-8.5,8,81,21,101,7475168.69392222,372094.126775662,20.0894562854228,2.64673782477289,0.336487703681192,1466347.00870852,5.09802472661947
SSP5-8.5,9,81,21,101,7504772.47414815,346839.565632326,21.6375904532868,2.64696298578571,0.3373228189822,1464691.70343383,5.12552818591614
SSP5-8.5,10,81,21,101,7530521.00490123,392437.976119939,19.1890730845063,2.64841253863002,0.334612859155033,1466508.76014272,5.13444403750532
SSP5-8.5,11,81,21,101,7542748.30112593,366995.352909024,20.5527079330504,2.65290190817525,0.345117939676109,1463153.27034654,5.15592973747786
SSP5-8.5,12,81,21,101,7477867.06331482,425506.416743721,17.5740406467681,2.64573527427529,0.339051876531169,1464312.0505842,5.10703830417111
SSP5-8.5,13,81,21,101,7595232.04833198,433834.233219216,17.5072215762515,2.64729338983959,0.335426586292401,1482298.95838667,5.12393788982357
SSP5-8.5,14,81,21,101,7427801.78381975,423956.276398618,17.5202071471066,2.65181718438896,0.335690013451647,1455008.39904679,5.1048328718826
SSP5-8.5,15,81,21,101,7469558.12890741,380746.540163999,19.6181904258146,2.64360292986801,0.333295856867709,1461828.74494679,5.11020813557926
SSP5-8.5,16,81,21,101,7514388.34440111,399193.996099291,18.8239012054982,2.64422782263789,0.338603662703055,1469428.72317667,5.11361988344027
SSP5-8.5,17,81,21,101,7499151.20519877,411178.951524474,18.2381689952639,2.64852594704733,0.337010848873492,1464129.29181864,5.12201594580161
SSP5-8.5,18,81,21,101,7392150.93388272,339439.310578767,21.7775334308763,2.64681759000448,0.339848058442924,1451111.49516407,5.09614456562025
SSP5-8.5,19,81,21,101,7500682.82349506,332782.247129815,22.5393117817644,2.64532139683947,0.341580765491564,1464398.10182988,5.12329720664837
SSP5-8.5,20,81,21,101,7456533.96139543,315548.887097281,23.6303605124003,2.64517299218862,0.337070868254513,1459519.71932914,5.11006772915582
SSP5-8.5,21,81,21,101,7453024.78571235,378777.172238288,19.6765415974531,2.64835409584668,0.330604741530948,1457088.43499877,5.11501439354399
SSP5-8.5,22,81,21,101,7511923.07418272,315696.1258299,23.7947901781671,2.64436824228893,0.332830325598639,1467081.04427753,5.12157380325431
SSP5-8.5,23,81,21,101,7558703.25770938,372001.368498654,20.3190200299941,2.64900758185539,0.334305091121118,1475069.82822815,5.12551564128115
SSP5-8.5,24,81,21,101,7335859.96283827,405671.239487716,18.0832636104596,2.64701560111505,0.336322767336386,1439088.33725543,5.09784778323643
SSP5-8.5,25,81,21,101,7511169.75006469,346859.073344966,21.6548169769067,2.64791494099105,0.338472097374099,1467244.40249765,5.11970596954952
