scenario,run,group,mean_tl
SSP1-2.6,38,Predator,2.99512411481482
SSP1-2.6,39,Predator,2.99814436604938
SSP1-2.6,40,Predator,2.99431973549383
SSP1-2.6,41,Predator,3.00114870555556
SSP1-2.6,42,Predator,2.99611040864198
SSP1-2.6,43,Predator,2.99639026728395
SSP1-2.6,44,Predator,2.99913206296297
SSP1-2.6,45,Predator,2.99866783395062
SSP1-2.6,46,Predator,2.99337550617284
SSP1-2.6,47,Predator,2.9981196941358
SSP1-2.6,48,Predator,3.00039573981482
SSP1-2.6,49,Predator,2.99855145185185
SSP1-2.6,50,Predator,2.9964867117284
SSP1-2.6,51,Predator,2.99309242962963
SSP1-2.6,52,Predator,2.99741306450617
SSP1-2.6,53,Predator,2.99570160555556
SSP1-2.6,54,Predator,2.99396342253087
SSP1-2.6,55,Predator,2.99580822253086
SSP1-2.6,56,Predator,2.99918635246914
SSP1-2.6,57,Predator,2.99410702098766
SSP1-2.6,58,Predator,2.99252976944444
SSP1-2.6,59,Predator,2.99675979382716
SSP1-2.6,60,Predator,2.99756572839506
SSP1-2.6,61,Predator,2.99966352006173
SSP1-2.6,62,Predator,2.99389196111111
SSP1-2.6,63,Predator,2.99632667932099
SSP1-2.6,64,Predator,2.99488558487654
SSP1-2.6,65,Predator,2.99573133395062
SSP1-2.6,66,Predator,2.99548443703704
SSP1-2.6,67,Predator,2.99658397098766
SSP1-2.6,68,Predator,2.99938142901235
SSP1-2.6,69,Predator,2.99770934351852
SSP1-2.6,70,Predator,2.99679070061729
SSP1-2.6,71,Predator,3.00069782098766
SSP1-2.6,72,Predator,2.99808661851852
SSP1-2.6,73,Predator,2.99644141203704
SSP1-2.6,74,Predator,2.99674136851852
SSP1-2.6,75,Predator,2.99591737345679
SSP1-2.6,76,Predator,2.99502897469136
SSP1-2.6,77,Predator,2.99840290740741
SSP1-2.6,78,Predator,2.99746282777778
SSP1-2.6,79,Predator,2.99723152407408
SSP1-2.6,80,Predator,2.99845016234568
SSP1-2.6,81,Predator,2.99399149598766
SSP1-2.6,82,Predator,2.99444630648148
SSP1-2.6,83,Predator,2.99496303333333
SSP1-2.6,84,Predator,2.99713803765432
SSP1-2.6,85,Predator,2.99938839382716
SSP1-2.6,86,Predator,2.99630121049383
SSP1-2.6,87,Predator,2.99821798703704
SSP1-2.6,88,Predator,2.99757185185185
SSP1-2.6,89,Predator,2.99840633271605
SSP1-2.6,90,Predator,2.99173606111111
SSP1-2.6,91,Predator,2.99474899907408
SSP1-2.6,92,Predator,2.99867530123457
SSP1-2.6,93,Predator,2.99576526604938
SSP1-2.6,94,Predator,2.99354504444444
SSP1-2.6,95,Predator,2.99962910277778
SSP1-2.6,96,Predator,2.99758143209877
SSP1-2.6,97,Predator,2.99356726080247
SSP1-2.6,98,Predator,2.99195246049383
SSP1-2.6,99,Predator,2.99790774382716
SSP1-2.6,100,Predator,2.9976053
SSP1-2.6,1,Invertebrate,2.28267660987654
SSP1-2.6,2,Invertebrate,2.28440927407408
SSP1-2.6,3,Invertebrate,2.28385344897119
SSP1-2.6,4,Invertebrate,2.28216672716049
SSP1-2.6,5,Invertebrate,2.2822153526749
SSP1-2.6,6,Invertebrate,2.28311031069959
SSP1-2.6,7,Invertebrate,2.28411503251029
SSP1-2.6,8,Invertebrate,2.28486250946502
SSP1-2.6,9,Invertebrate,2.28742550246914
SSP1-2.6,10,Invertebrate,2.28168439300412
SSP1-2.6,11,Invertebrate,2.28388342427983
SSP1-2.6,12,Invertebrate,2.28624440041152
SSP1-2.6,13,Invertebrate,2.28361935843621
SSP1-2.6,14,Invertebrate,2.28277603209877
SSP1-2.6,15,Invertebrate,2.28468915308642
SSP1-2.6,16,Invertebrate,2.28545003168724
SSP1-2.6,17,Invertebrate,2.28093837654321
SSP1-2.6,18,Invertebrate,2.28674367489712
SSP1-2.6,19,Invertebrate,2.28446822016461
SSP1-2.6,20,Invertebrate,2.28517509835391
SSP1-2.6,21,Invertebrate,2.28257791975309
SSP1-2.6,22,Invertebrate,2.28205869135802
SSP1-2.6,23,Invertebrate,2.28359189835391
SSP1-2.6,24,Invertebrate,2.28435041975309
SSP1-2.6,25,Invertebrate,2.28552667736625
SSP1-2.6,26,Invertebrate,2.28100608148148
SSP1-2.6,27,Invertebrate,2.28378419958848
SSP1-2.6,28,Invertebrate,2.28407815349794
SSP1-2.6,29,Invertebrate,2.2846235345679
SSP1-2.6,30,Invertebrate,2.28547407119341
SSP1-2.6,31,Invertebrate,2.28299328518518
SSP1-2.6,32,Invertebrate,2.28474789382716
SSP1-2.6,33,Invertebrate,2.2826859744856
SSP1-2.6,34,Invertebrate,2.28484149958848
SSP1-2.6,35,Invertebrate,2.2843307037037
SSP1-2.6,36,Invertebrate,2.28324960288066
SSP1-2.6,37,Invertebrate,2.28095805761317
SSP1-2.6,38,Invertebrate,2.2823856127572
SSP1-2.6,39,Invertebrate,2.28501451028807
SSP1-2.6,40,Invertebrate,2.28567068024691
SSP1-2.6,41,Invertebrate,2.28292649218107
SSP1-2.6,42,Invertebrate,2.27896210946502
SSP1-2.6,43,Invertebrate,2.2844479781893
SSP1-2.6,44,Invertebrate,2.28037215349794
SSP1-2.6,45,Invertebrate,2.282191118107
SSP1-2.6,46,Invertebrate,2.28267039218107
SSP1-2.6,47,Invertebrate,2.28484978971193
SSP1-2.6,48,Invertebrate,2.28727536378601
SSP1-2.6,49,Invertebrate,2.2865190872428
SSP1-2.6,50,Invertebrate,2.28494834732511
SSP1-2.6,51,Invertebrate,2.28413059753087
SSP1-2.6,52,Invertebrate,2.28585886090535
SSP1-2.6,53,Invertebrate,2.28219913127572
SSP1-2.6,54,Invertebrate,2.28338303580247
SSP1-2.6,55,Invertebrate,2.28261414773663
SSP1-2.6,56,Invertebrate,2.28519422798354
SSP1-2.6,57,Invertebrate,2.28426147572016
SSP1-2.6,58,Invertebrate,2.28207404938271
SSP1-2.6,59,Invertebrate,2.28395837736626
SSP1-2.6,60,Invertebrate,2.28442971522633
SSP1-2.6,61,Invertebrate,2.2830226164609
SSP1-2.6,62,Invertebrate,2.28285227901234
SSP1-2.6,63,Invertebrate,2.28448533950617
SSP1-2.6,64,Invertebrate,2.28820284567902
SSP1-2.6,65,Invertebrate,2.28794035843621
SSP1-2.6,66,Invertebrate,2.28272526625515
