run,species,scenario,tl_future,latin,group,species_order,tl_base,response_tl
7,MiichthysMiiuy,SSP5-8.5,3.0105335,Miichthys miiuy,Predator,5,3.03349077,-0.0229572699999996
7,MuraenesoxCinereus,SSP1-2.6,3.10515467654321,Muraenesox cinereus,Predator,4,3.11384373666667,-0.00868906012345994
7,MuraenesoxCinereus,SSP5-8.5,3.11169375679012,Muraenesox cinereus,Predator,4,3.11384373666667,-0.00214997987654986
7,PampusArgenteus,SSP1-2.6,2.81951424197531,Pampus argenteus,Mid-trophic species,12,2.82249397,-0.00297972802469015
7,PampusArgenteus,SSP5-8.5,2.8189531654321,Pampus argenteus,Mid-trophic species,12,2.82249397,-0.00354080456789996
7,PennahiaArgentata,SSP1-2.6,2.89307183209877,Pennahia argentata,Mid-trophic species,11,2.89120377,0.00186806209876966
7,PennahiaArgentata,SSP5-8.5,2.9061475617284,Pennahia argentata,Mid-trophic species,11,2.89120377,0.0149437917283999
7,PortunusTrituberculatus,SSP1-2.6,2.15205990740741,Portunus trituberculatus,Invertebrate,8,2.14250054333333,0.00955936407408009
7,PortunusTrituberculatus,SSP5-8.5,2.1528351654321,Portunus trituberculatus,Invertebrate,8,2.14250054333333,0.0103346220987701
7,ScomberJaponicus,SSP1-2.6,2.5379095654321,Scomber japonicus,Mid-trophic species,9,2.54254434333333,-0.00463477790123035
7,ScomberJaponicus,SSP5-8.5,2.53752885061728,Scomber japonicus,Mid-trophic species,9,2.54254434333333,-0.00501549271604995
7,ScomberomorusNiphonius,SSP1-2.6,3.07891211851852,Scomberomorus niphonius,Predator,2,3.10158205333333,-0.0226699348148096
7,ScomberomorusNiphonius,SSP5-8.5,3.07434498271605,Scomberomorus niphonius,Predator,2,3.10158205333333,-0.02723707061728
7,TodarodesPacificus,SSP1-2.6,2.42780625185185,Todarodes pacificus,Invertebrate,6,2.43101503333333,-0.00320878148147985
7,TodarodesPacificus,SSP5-8.5,2.42474255308642,Todarodes pacificus,Invertebrate,6,2.43101503333333,-0.00627248024690985
7,TrachurusJaponicus,SSP1-2.6,2.67218493580247,Trachurus japonicus,Mid-trophic species,14,2.67258137333333,-0.000396437530860272
7,TrachurusJaponicus,SSP5-8.5,2.68111381358025,Trachurus japonicus,Mid-trophic species,14,2.67258137333333,0.00853244024692001
7,TrachysalambriaCurvirostris,SSP1-2.6,2.27247893827161,Trachysalambria curvirostris,Invertebrate,7,2.27037641,0.00210252827161028
7,TrachysalambriaCurvirostris,SSP5-8.5,2.2799459691358,Trachysalambria curvirostris,Invertebrate,7,2.27037641,0.00956955913580027
7,TrichiurusJaponicus,SSP1-2.6,2.78061557407407,Trichiurus japonicus,Predator,3,2.78535148666667,-0.00473591259259987
7,TrichiurusJaponicus,SSP5-8.5,2.78029408888889,Trichiurus japonicus,Predator,3,2.78535148666667,-0.00505739777777992
8,DecapterusMaruadsi,SSP1-2.6,2.72716451111111,Decapterus maruadsi,Mid-trophic species,10,2.70708842,0.0200760911111102
8,DecapterusMaruadsi,SSP5-8.5,2.72293753333333,Decapterus maruadsi,Mid-trophic species,10,2.70708842,0.0158491133333301
8,EngraulisJaponicus,SSP1-2.6,2.32520509135802,Engraulis japonicus,Prey,1,2.33109403333333,-0.00588894197531031
8,EngraulisJaponicus,SSP5-8.5,2.31997499753086,Engraulis japonicus,Prey,1,2.33109403333333,-0.0111190358024702
8,LarimichthysPolyactis,SSP1-2.6,2.59435597530864,Larimichthys polyactis,Mid-trophic species,13,2.60928536666667,-0.0149293913580304
8,LarimichthysPolyactis,SSP5-8.5,2.60871538765432,Larimichthys polyactis,Mid-trophic species,13,2.60928536666667,-0.000569979012350341
8,MiichthysMiiuy,SSP1-2.6,3.01240031851852,Miichthys miiuy,Predator,5,3.01864682,-0.00624650148147987
