run,group,scenario,tl_future,tl_base,response_tl
29,Mid-trophic species,SSP1-2.6,2.70664688024692,2.71031689111111,-0.00367001086419538
29,Mid-trophic species,SSP5-8.5,2.71062037098765,2.71031689111111,0.000303479876542667
30,Prey,SSP1-2.6,2.32814953703704,2.3274071,0.000742437037040133
30,Prey,SSP5-8.5,2.32868693703704,2.3274071,0.00127983703704038
30,Predator,SSP1-2.6,2.99978129290124,3.0092101875,-0.0094288945987655
30,Predator,SSP5-8.5,2.99760166728395,3.0092101875,-0.0116085202160483
30,Invertebrate,SSP1-2.6,2.28547407119341,2.29023682666667,-0.00476275547325322
30,Invertebrate,SSP5-8.5,2.28462679423868,2.29023682666667,-0.0056100324279833
30,Mid-trophic species,SSP1-2.6,2.71077642139918,2.70746130666667,0.00331511473251034
30,Mid-trophic species,SSP5-8.5,2.71036491975309,2.70746130666667,0.0029036130864184
31,Prey,SSP1-2.6,2.32266263580247,2.33141169666667,-0.0087490608641998
31,Prey,SSP5-8.5,2.32753415679012,2.33141169666667,-0.00387753987654982
31,Predator,SSP1-2.6,2.99609403734568,3.00275972666667,-0.00666568932098999
31,Predator,SSP5-8.5,2.99308034567901,3.00275972666667,-0.00967938098765275
31,Invertebrate,SSP1-2.6,2.28299328518518,2.28326039444444,-0.000267109259259879
31,Invertebrate,SSP5-8.5,2.28421421152263,2.28326039444444,0.000953817078189978
31,Mid-trophic species,SSP1-2.6,2.70682881316872,2.70560991944444,0.00121889372427964
31,Mid-trophic species,SSP5-8.5,2.71076605308642,2.70560991944444,0.00515613364197787
32,Prey,SSP1-2.6,2.32518804320988,2.33406928666667,-0.00888124345678998
32,Prey,SSP5-8.5,2.32523036666667,2.33406928666667,-0.00883892000000008
32,Predator,SSP1-2.6,2.9981183308642,3.0036741825,-0.00555585163579986
32,Predator,SSP5-8.5,2.99904810308642,3.0036741825,-0.00462607941357751
32,Invertebrate,SSP1-2.6,2.28474789382716,2.28284345444445,0.00190443938271301
32,Invertebrate,SSP5-8.5,2.28405498148148,2.28284345444445,0.0012115270370332
32,Mid-trophic species,SSP1-2.6,2.70803788251029,2.70700145277778,0.00103642973251317
32,Mid-trophic species,SSP5-8.5,2.70642310864198,2.70700145277778,-0.000578344135799824
33,Prey,SSP1-2.6,2.32534569506173,2.34032545333333,-0.0149797582716
33,Prey,SSP5-8.5,2.32741122098765,2.34032545333333,-0.0129142323456799
33,Predator,SSP1-2.6,2.99442396697531,3.0054980125,-0.0110740455246927
33,Predator,SSP5-8.5,2.9909649867284,3.0054980125,-0.014533025771605
33,Invertebrate,SSP1-2.6,2.2826859744856,2.28305763333333,-0.000371658847736267
33,Invertebrate,SSP5-8.5,2.28360792427984,2.28305763333333,0.000550290946503385
33,Mid-trophic species,SSP1-2.6,2.71013839053498,2.70828547166667,0.00185291886831385
33,Mid-trophic species,SSP5-8.5,2.7101884691358,2.70828547166667,0.00190299746913647
34,Prey,SSP1-2.6,2.32637149382716,2.34021191333333,-0.0138404195061699
34,Prey,SSP5-8.5,2.32592406419753,2.34021191333333,-0.0142878491357998
34,Predator,SSP1-2.6,2.99690513703704,3.00888681166667,-0.0119816746296322
34,Predator,SSP5-8.5,2.99361418549383,3.00888681166667,-0.0152726261728393
34,Invertebrate,SSP1-2.6,2.28484149958848,2.27982787888889,0.00501362069958677
